,step,entity,name,id,model,dataset,subset,initial_model,project,exit_condition,metric,seed,train,dev,test,range_from,range_to
0,0,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9937438444145432,0.939610276885687,0.9287470520347232,22,23
1,1,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9974922186652166,0.9401835499338267,0.9296089105185259,19,20
2,2,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9983577361170447,0.941002853825537,0.9302781337152333,2,3
3,3,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9986989677737923,0.9412402898928091,0.9289229224202862,14,15
4,4,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9989292411482086,0.9411100740194057,0.9286745233881798,17,18
5,5,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9989957611132072,0.9415749364944962,0.9290521874529107,17,18
6,6,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9991178281928794,0.9416537406037466,0.9288212946825984,10,11
7,7,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9993647482433485,0.9418849417330354,0.929487742178193,7,8
8,8,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9991595263390021,0.9413564507904132,0.929013971455088,10,11
9,9,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9994313343116232,0.9413807322525338,0.9282774543264405,13,14
10,10,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9992233225153256,0.9403939015788617,0.9259143168795998,12,13
11,11,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9995117864731566,0.9404719283970707,0.9272941589546811,2,3
12,12,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9995700308745572,0.9398021606143434,0.9274042862696412,9,10
13,13,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9994618376303103,0.9399783080260303,0.9265404924057143,3,4
14,14,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9996837602569864,0.9392624728850326,0.9261522631162867,2,3
15,15,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9995367352317017,0.9388215393290105,0.9256146512794782,3,4
16,16,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9994757208837847,0.9375942377992559,0.9232275311570465,3,4
17,17,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9994701847141355,0.9362380446333688,0.9223709944335791,1,2
18,18,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.9994951372283588,0.9352781693959441,0.9202257053291536,4,5
19,19,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.999242691137267,0.9330978284426337,0.9193162007249376,1,2
20,20,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.998266215050363,0.9280775150109467,0.9137898604336214,2,3
21,21,szegedai-semantics,earnest-aardvark-170,kopywj6p,bert-large-uncased,conll,pos,pfdf,recursive,max_depth,f1,42,0.99503729656106,0.9205238471787429,0.9052491827507171,0,1
