,step,entity,name,id,model,dataset,subset,initial_model,project,exit_condition,metric,seed,train,dev,test,range_from,range_to
0,0,szegedai-semantics,proud-firebrand-260,wc6aawgr,bert-large-uncased,glue,cola,pfdf,recursive,max_depth,matthews_correlation,42,0.0,0.0,0.0,0,1
1,1,szegedai-semantics,proud-firebrand-260,wc6aawgr,bert-large-uncased,glue,cola,pfdf,recursive,max_depth,matthews_correlation,42,0.0,0.0,0.0,0,1
2,2,szegedai-semantics,proud-firebrand-260,wc6aawgr,bert-large-uncased,glue,cola,pfdf,recursive,max_depth,matthews_correlation,42,0.0,0.0,0.0,0,1
3,3,szegedai-semantics,proud-firebrand-260,wc6aawgr,bert-large-uncased,glue,cola,pfdf,recursive,max_depth,matthews_correlation,42,0.0,0.0,0.0,0,1
4,4,szegedai-semantics,proud-firebrand-260,wc6aawgr,bert-large-uncased,glue,cola,pfdf,recursive,max_depth,matthews_correlation,42,0.0,0.0,0.0,0,1
5,5,szegedai-semantics,proud-firebrand-260,wc6aawgr,bert-large-uncased,glue,cola,pfdf,recursive,max_depth,matthews_correlation,42,0.0,0.0,0.0,0,1
6,6,szegedai-semantics,proud-firebrand-260,wc6aawgr,bert-large-uncased,glue,cola,pfdf,recursive,max_depth,matthews_correlation,42,0.0,0.0,0.0,0,1
7,7,szegedai-semantics,proud-firebrand-260,wc6aawgr,bert-large-uncased,glue,cola,pfdf,recursive,max_depth,matthews_correlation,42,0.0,0.0,0.0,0,1
8,8,szegedai-semantics,proud-firebrand-260,wc6aawgr,bert-large-uncased,glue,cola,pfdf,recursive,max_depth,matthews_correlation,42,0.0,0.0,0.0,0,1
9,9,szegedai-semantics,proud-firebrand-260,wc6aawgr,bert-large-uncased,glue,cola,pfdf,recursive,max_depth,matthews_correlation,42,0.0,0.0,0.0,0,1
10,10,szegedai-semantics,proud-firebrand-260,wc6aawgr,bert-large-uncased,glue,cola,pfdf,recursive,max_depth,matthews_correlation,42,0.0,0.0,0.0,0,1
11,11,szegedai-semantics,proud-firebrand-260,wc6aawgr,bert-large-uncased,glue,cola,pfdf,recursive,max_depth,matthews_correlation,42,0.0,0.0,0.0,0,1
